Unnamed: 0,STATIONID,STATIONNAME,DISPLAYNAME
46,MACKAY,MACKAY GAS TURBINE,MACKAY 
47,STANWELL,STANWELL POWER STATION,STANWELL 
48,TARONG,TARONG POWER STATION,TARONG 
49,WIVENHOE,WIVENHOE POWER STATION,WIVENHOE 
50,YALLOURN,YALLOURN 'W' POWER STATION,YALLOURN 'W' 
51,BARCALDN,Barcaldine Power Station,Barcaldine 
52,SNOWY1,Tumut 3 Power Station,Tumut 3 
53,SNOWY2,Tumut Power Station,Tumut 
54,SNOWY3,Guthega Power Station,Guthega 
55,SNOWY4,SNOWY,SNOWY
56,SNOWY5,SNOWY,SNOWY
57,SNOWY6,Blowering Power Station,Blowering 
58,SNOWYP,SNOWY,SNOWY
59,PORTLCN,Port Lincoln Gas Turbine,Port Lincoln 
60,TBLAND,TABLELAND MILL,TABLELAND MILL
61,OSBORNE,OSBORNE POWER STATION,OSBORNE 
62,MSTUART,Mt Stuart Power Station,Mt Stuart 
63,YABULU,Townsville Gas Turbine,Townsville 
64,SITHE,SMITHFIELD ENERGY FACILITY,SMITHFIELD ENERGY FACILITY
65,STHJST,SOUTH JOHNSTONE,SOUTH JOHNSTONE
66,BHASZINC,BHAS ZINC PLANT SA,BHAS ZINC PLANT SA
67,VICSMLT,VICTORIAN SMELTER ANCILLARY SERVICES,VICTORIAN SMELTER ANCILLARY SERVICES
68,BLOWER,BLOWERING,BLOWERING
69,GUTHEGA,Guthega Power Station,Guthega 
70,MURRAY1,MURRAY1,MURRAY1
71,MURRAY2,MURRAY2,MURRAY2
72,SNOWY,Tumut 3 Pumps,Tumut 3 Pumps
73,SNWYGJP2,Jindabyne Pump At Guthega,Jindabyne Pump At Guthega
74,TUMUT1,TUMUT1,TUMUT1
75,TUMUT2,TUMUT2,TUMUT2
76,TUMUT3,TUMUT3,TUMUT3
77,ROMA,Roma Gas Turbine Station,Roma 
78,JINDABYNE,SNOWY,SNOWY
79,TOMAGO,TOMAGO SMELTER,TOMAGO SMELTER
80,FARLEIGH,FARLEIGH MILL,FARLEIGH MILL
81,MACKNADE,MACKNADE SUGAR MILL,MACKNADE SUGAR MILL
82,MARIAN,MARIAN MILL,MARIAN MILL
83,PLANECRK,PLANE CREEK MILL,PLANE CREEK MILL
84,PLEYSTOW,PLEYSTOWE MILL,PLEYSTOWE MILL
85,RCOURSE,RACECOURSE MILL,RACECOURSE MILL
86,OAKEY,OAKEY POWER STATION,OAKEY 
87,ERG_AS,ERGON FREQUENCY CONTROL A.S.,ERGON FREQUENCY CONTROL A.S.
88,LADBROKE,Ladbroke Grove Power Station,Ladbroke Grove 
89,WGULLY,WHYTES GULLY,WHYTES GULLY
90,WINDHILL,Windy Hill Wind Farm,Windy Hill 
91,DIRECTLINK,DLINK INTERCONNECTOR,DLINK INTERCONNECTOR
92,UWS,UWS CO-GEN UNIT,UWS CO-GEN UNIT
93,CALLIDEC,CALLIDE C NETT OFF,CALLIDE C NETT OFF
94,MULGRAVE,MULGRAVE CENTRAL MILL,MULGRAVE CENTRAL MILL
95,NPPPPS,Pelican Point Power Station,Pelican Point 
96,CALLIDEC1,CALLIDE C NETT OFF,CALLIDE C NETT OFF
97,REDBANK1,Redbank Power Station,Redbank 
98,DEIBDL,Bairnsdale Power Station,Bairnsdale 
99,MILLMERN,Millmerran Power Plant,Millmerran Power Plant
100,JACKSGUL,Jacks Gully Landfill Gas Power Station,Jacks Gully Landfill Gas 
101,MURRAY,Murray Power Station,Murray 
102,RPCG,Rocky Point Cogeneration Plant,Rocky Point Cogeneration Plant
103,PINDARI,Pindari Hydro Power Station,Pindari  
104,QUARANTN,Quarantine Power Station,Quarantine 
105,LONSDALE,Lonsdale Power Station,Lonsdale 
106,LYGS,VALLEY POWER,VALLEY POWER
107,AGLHAL,Hallett Power Station,Hallett 
108,AGLSOM,Somerton Power Station,Somerton 
109,SUNSHINE,SUNSHINE ENERGY,SUNSHINE ENERGY
110,WCLASS,HRL TRAMWAY ROAD,HRL TRAMWAY ROAD
111,AGLNOW1,West Nowra Landfill Gas Power Generation Facility,West Nowra Landfill Gas Power Generation Facility
112,TOORAWF,TOORA WIND FARM,TOORA 
113,BROOKLYN,Brooklyn LFG U1-3,Brooklyn LFG U1-3
114,EASTCRK,Eastern Creek LFG PS Units 1-4,Eastern Creek LFG PS Units 1-4
115,LONGFORD,LONGFORD PLANT,LONGFORD PLANT
116,MURLINKP,MURLINK INTCONNECTOR,MURLINK INTCONNECTOR
117,STPN1,STAPYLTON,STAPYLTON
118,TARONGN,Tarong North Power Station,Tarong North 
119,WIVENSH,WIVENHOE SMALL HYDRO,WIVENHOE SMALL 
120,RT_NSW1,RESERVE TRADER NSW1,RESERVE TRADER NSW1
121,RT_QLD1,RESERVE TRADER QLD1,RESERVE TRADER QLD1
122,RT_SA1,RESERVE TRADER SA1,RESERVE TRADER SA1
123,RT_VIC1,RESERVE TRADER VIC1,RESERVE TRADER VIC1
124,MORNW,Mornington Waste Disposal Facility,Mornington Waste Disposal Facility
125,WYNDW,Wyndham Waste Disposal Facility,Wyndham Waste Disposal Facility
126,PMATTAEP,EarthPower Biomass Plant,EarthPower Biomass Plant
127,SUNCOAST,Suncoast Gold Macadamias,Suncoast Gold Macadamias
128,TERMSTOR,Terminal Storage Mini Hydro Power Station,Terminal Storage Mini  
129,SOMERSET,SOMERSET DAM,SOMERSET DAM
130,LKBONNY1,Lake Bonney Wind Farm Stage 1,Lake Bonney  Stage 1
131,TERALBA,TERALBA POWER STATION,TERALBA 
132,EDLRGNRD,Roghan Road LFG Power Plant,Roghan Road LFG Power Plant
133,DG_NSW1,NSW1 Dummy Generator,NSW1 Dummy Generator
134,DG_QLD1,QLD1 Dummy Generator,QLD1 Dummy Generator
135,DG_SA1,SA1 Dummy Generator,SA1 Dummy Generator
136,DG_VIC1,VIC1 Dummy Generator,VIC1 Dummy Generator
137,ROCHEDAL,Rochedale Renewable Energy Facility,Rochedale Renewable Energy Facility
138,WHIT1,Whitwood Road Renewable Energy Facility,Whitwood Road Renewable Energy Facility
139,LUCAS2S2,Lucas Heights 2 Power Station,Lucas Heights 2 
140,ANGASTON,ANGASTON POWER STATION,ANGASTON 
141,WPWF,Wattle Point Wind Farm,Wattle Point 
142,CATHROCK,CATHEDRAL ROCKS,CATHEDRAL ROCKS
143,BELLBAY,BELL BAY,BELL BAY
144,WOOLNTH1,Woolnorth Studland Bay / Bluff Point Wind Farm,Woolnorth Studland Bay / Bluff Point 
145,BASTYAN,Bastyan Power Station,Bastyan 
146,BUTLERSG,Butlers Gorge Power Station,Butlers Gorge 
147,CETHANA,Cethana Power Station,Cethana 
148,CLUNY,Cluny Power Station,Cluny 
149,DEVILS_G,Devils Gate Power Station,Devils Gate 
150,FISHER,Fisher Power Station,Fisher 
151,GORDON,Gordon Power Station,Gordon 
152,JBUTTERS,John Butters Power Station,John Butters 
153,LEM_WIL,Lemonthyme / Wilmot Power Station,Lemonthyme / Wilmot 
154,LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,Catagunya / Liapootah / Wayatinah 
155,LK_ECHO,Lake Echo Power Station,Lake Echo 
156,MACKNTSH,Mackintosh Power Station,Mackintosh 
157,MEADOWBK,Meadowbank Power Station,Meadowbank 
158,PALOONA,Paloona Power Station,Paloona 
159,PTINA110,Poatina Power Station,Poatina 
160,PTINA220,Poatina Power Station,Poatina 
161,REECE,Reece Power Station,Reece 
162,REPULSE,Repulse Power Station,Repulse 
163,TARRALEA,Tarraleah Power Station,Tarraleah 
164,TREVALLN,Trevallyn Power Station,Trevallyn 
165,TRIBUTE,Tribute Power Station,Tribute 
166,TUNGATIN,Tungatinah Power Station,Tungatinah 
167,DG_TAS1,TAS1 Dummy Generator,TAS1 Dummy Generator
168,RT_TAS1,RESERVE TRADER TAS1,RESERVE TRADER TAS1
169,YAMBUK,YAMBUK WIND FARM,YAMBUK 
170,MTMILLAR,Mt Millar Wind Farm,Mt Millar 
171,WONWP,Wonthaggi Wind Farm,Wonthaggi 
172,BASSLINK,Basslink HVDC Link,Basslink HVDC Link
173,BAPS,Banimboola Power Station,Banimboola 
174,STARFHILL,Starfish Hill Wind Farm,Starfish Hill 
175,CHALLWF,Challicum Hills Wind Farm,Challicum Hills 
176,CANUNDA1,CANUNDA WIND FARM ,CANUNDA  
177,LNGS,Laverton North Power Station,Laverton North 
178,ROWALLAN,Rowallan Power Station,Rowallan 
179,INVICTA,Invicta Sugar Mill,Invicta Sugar Mill
180,PIONEER,Pioneer Sugar Mill,Pioneer Sugar Mill
181,BRAEMARA,Braemar Power Station,Braemar 
182,BBP31,Bell Bay Three Power Station,Bell Bay Three 
183,OCPS,Oaky Creek Power Station,Oaky Creek 
184,TATURA,Tatura Biomass Generator,Tatura 
185,GERMCRK,German Creek Power Station,German Creek 
186,GRANGEAV,Grange Avenue Landfill Gas Power Station,Grange Avenue Landfill Gas 
187,REMOUNT,Remount Power Station,Remount 
188,DAANDINE,Daandine Power Station,Daandine 
189,AWABAREF,Awaba Power Station,Awaba 
190,ICSM,ISIS Central Sugar Mill Co-generation Plant,ISIS Central Sugar Mill 
191,MORANBAH,Moranbah Generation Project,Moranbah Generation Project
192,KRCCOGEN,KRC Cogeneration Plant Power Station,KRC Cogeneration Plant 
193,KOGANCK,Kogan Creek Power Station,Kogan Creek 
194,LKBONNY_2,Lake Bonney Stage 2 Windfarm,Lake Bonney Stage 2 Windfarm
195,JNDSHPS,Jindabyne Small Hydro Power Station,Jindabyne Small  
196,CONDONG1,Condong Power Station,Condong 
197,HALLWF,Hallett 1 Wind Farm,Hallett 1 
198,SNOWTOWN,Snowtown Wind Farm Units 1 And 47,Snowtown  Units 1 And 47
199,PORTWF,Portland Wind Farm,Portland 
200,BWTR1,Broadwater Power Station,Broadwater 
201,WDLNGN,Woodlawn Bioreactor Energy Generation Station,Woodlawn Bioreactor Energy Generation Station
202,ERGT01,Eraring Power Station,Eraring 
203,HEZ,Hunter Economic Zone Power Station,Hunter Economic Zone 
204,TALLAWAR,Tallawarra Power Station,Tallawarra 
205,URANQ,Uranquinty Power Station,Uranquinty 
206,MBAHNTH,Moranbah North Waste Coal Mine Gas Power Station,Moranbah North Waste Coal Mine Gas 
207,HLMSEW01,South East Water - Halllam Hydro Plant,South East Water - Halllam  Plant
208,TITREE,Veolia Ti Tree Bio Reactor,Veolia Ti Tree Bio Reactor
209,SHEP1,Shepparton Wastewater Treatment Facility,Shepparton Wastewater Treatment Facility
210,BBASEHOS,Ballarat Base Hospital Plant,Ballarat Base Hospital Plant
211,AMCORGR,"Amcor Glass, Gawler Plant","Amcor Glass, Gawler Plant"
212,WAUBRAWF,WAUBRA WIND FARM,WAUBRA 
213,B2PS,BRAEMAR 2 POWER STATION,BRAEMAR 2 
214,CLEMGPWF,Clements Gap Wind Farm,Clements Gap 
215,HALLWF2,Hallett 2 Wind Farm,Hallett 2 
216,COLONGRA,Colongra Power Station,Colongra 
217,CULLERIN,Cullerin Range Wind Farm,Cullerin Range 
218,CPSA,Condamine Power Station A,Condamine  A
219,TVCCPS,Tamar Valley Combined Cycle Power Station,Tamar Valley Combined Cycle 
220,CAPTL_WF,Capital Wind Farm,Capital 
221,STHBKTEC,Southbank Institute Of Technology Unit 1 Plant,Southbank Institute Of Technology Unit 1 Plant
222,DDPS1,Darling Downs Power Station,Darling Downs 
223,CODRGTON,Codrington Wind Farm,Codrington 
224,BDONGHYD,Burrendong Hydro Power Station,Burrendong  
225,COPTNHYD,Copeton Hydro Power Station,Copeton  
226,GLBWNHYD,Glenbawn Hydro Power Station,Glenbawn  
227,YWNGAHYD,Yarrawonga Hydro Power Station,Yarrawonga  
228,EASTCRK2,Eastern Creek 2 Gas Utilisation Facility,Eastern Creek 2 Gas Utilisation Facility
229,WILGAPK,Wilga Park Power Station,Wilga Park 
230,APPIN,Appin Power Plant,Appin Power Plant
231,BERWICK,Berwick Power Plant,Berwick Power Plant
232,BROADMDW,Broadmeadows Landfill Gas Power Station,Broadmeadows Landfill Gas 
233,CLAYTON,Clayton Landfill Gas Power Station,Clayton Landfill Gas 
234,LUCASHGT,Lucas Heights II Power Plant,Lucas Heights II Power Plant
235,TOWER,Tower Power Plant,Tower Power Plant
236,GLENNCRK,Glennies Creek Power Station,Glennies Creek 
237,WYANGALA,Wyangala A Power Station,Wyangala A 
238,WYANGALB,Wyangala B Power Station,Wyangala B 
239,JOUNAMA,Jounama Small Hydro Power Station,Jounama Small  
240,WESTCBT,Western Suburbs League Club (Campbelltown) Plant,Western Suburbs League Club (Campbelltown) Plant
241,SYMEX,Symex Power Plant,Symex Power Plant
242,WESTILLA,West Illawarra Leagues Club Plant,West Illawarra Leagues Club Plant
243,YARWUN,Yarwun Power Station,Yarwun 
244,LKBONNY3,Lake Bonney Stage 3 Wind Farm,Lake Bonney Stage 3 
245,NBHWF,North Brown Hill Wind Farm,North Brown Hill 
246,BANKSPT,Bankstown Sports Club Plant Units,Bankstown Sports Club Plant Units
247,WATERLWF,Waterloo Wind Farm,Waterloo 
248,NINEWIL,Nine Network Willoughby Plant,Nine Network Willoughby Plant
249,STGEORGE,St George Leagues Plant,St George Leagues Plant
250,TATIARA,Tataria Bordertown Plant,Tataria Bordertown Plant
251,STANVAC,Pt Stanvac Power Station,Pt Stanvac 
252,VPGS,Valley Power Peaking Facility,Valley Power Peaking Facility
253,GUNNING,Gunning Wind Farm,Gunning 
254,WOODLWN,Woodlawn Wind Farm,Woodlawn 
255,HEPWIND,Hepburn Community Wind Farm,Hepburn Community 
256,BLUFF,The Bluff Wind Farm,The Bluff 
257,MORTLK,Mortlake Power Station,Mortlake 
258,OAKLAND,Oaklands Hill Wind Farm,Oaklands Hill 
259,VICMILL,Victoria Mill,Victoria Mill
260,HALAMRD,HALLAM ROAD RENEWABLE ENERGY FACILITY,HALLAM ROAD RENEWABLE ENERGY FACILITY
261,BLULAKE,Blue Lake Milling Power Plant,Blue Lake Milling Power Plant
262,BPLANDF,Browns Plains Landfill Gas PS,Browns Plains Landfill Gas PS
263,MACARTH,Macarthur Wind Farm,Macarthur 
264,RACOMIL,Racecourse Mill Power Station,Racecourse Mill 
265,MLWF,Mortons Lane Wind Farm,Mortons Lane 
266,MUSSELRO,Musselroe Wind Farm,Musselroe 
267,THEDROP,The Drop Power Station,The Drop 
268,HIGHBRY,Highbury Landfill Gas Power Station,Highbury Landfill Gas 
269,PEDLER,Pedler Creek Landfill Gas Power Station Units 1-3,Pedler Creek Landfill Gas  Units 1-3
270,WINGF1,Wingfield 1 Landfill Gas Power Station,Wingfield 1 Landfill Gas 
271,TEATREE,Tea Tree Gully Landfill Gas Power Station,Tea Tree Gully Landfill Gas 
272,WINGF2,Wingfield 2 Landfill Gas Power Station,Wingfield 2 Landfill Gas 
273,WOLLERT,Wollert Renewable Energy Facility,Wollert Renewable Energy Facility
274,TGNSS,Traralgon Network Support Station,Traralgon Network Support Station
275,CORIO,Corio Landfill Gas Power Station,Corio Landfill Gas 
276,CESF,Capital East Solar Farm,Capital East Solar Farm
277,SNOWSTH,Snowtown South Wind Farm,Snowtown South 
278,SNOWNTH,Snowtown Wind Farm Stage 2 North,Snowtown  Stage 2 North
279,SVALE,Springvale Landfill Gas Power Station,Springvale Landfill Gas 
280,MTMERCER,Mt Mercer Wind Farm,Mt Mercer 
281,GULLRGWF,Gullen Range Wind Farm,Gullen Range 
282,GLENMAGG,Glenmaggie Hydro Power Station,Glenmaggie  
283,EILDONPD,Eildon Power Station,Eildon 
284,WILLHOV,William Hovell Power Station,William Hovell 
285,MIDLDPS,Midlands Power Station,Midlands 
286,AS_NSW1,Station ID - Dummy (NSCAS),Station ID - Dummy (NSCAS)
287,ROYALLA,Royalla Solar Farm,Royalla Solar Farm
288,WOYWOY,Woy Woy Landfill Site,Woy Woy Landfill Site
289,WILGAPKB,Wilga Park B,Wilga Park B
290,KINCUMB,Kincumber Landfill Site,Kincumber Landfill Site
291,BOCOROCK,Boco Rock Wind Farm,Boco Rock 
292,TARALGA,Taralga Wind Farm,Taralga 
293,NYNGAN,Nyngan Solar Plant,Nyngan Solar Plant
294,BOLIVAR,SA Water Bolivar Waste Water Treatment (WWT) Plant,SA Water Bolivar Waste Water Treatment (WWT) Plant
295,BHWF,Bald Hills Wind Farm,Bald Hills 
296,CHPSTWF,Chepstowe Wind Farm,Chepstowe 
297,TAHMOOR,Tahmoor Waste Coal Mine Gas Power Station,Tahmoor Waste Coal Mine Gas 
298,BROKENH,Broken Hill Solar Plant,Broken Hill Solar Plant
299,MOREESF,MOREE SOLAR FARM,MOREE SOLAR FARM
300,CBWF,Coonoer Bridge Wind Farm,Coonoer Bridge 
301,OAKY2,Oaky Creek 2,Oaky Creek 2
302,GEORGTWN,GEORGE TOWN DIESEL,GEORGE TOWN DIESEL
303,PORTLATT,Port Latta Diesel Generator,Port Latta Diesel Generator
304,QUERIVER,Que River Diesel,Que River Diesel
305,BBDISEL1,Bell Bay Power Station,Bell Bay 
306,HORNSDAL,Hornsdale Wind Farm,Hornsdale 
307,ARWF,Ararat Wind Farm,Ararat 
308,MLSP,Mugga Lane Solar Park,Mugga Lane Solar Park
309,AGLSITA,AGL KEMPS CREEK,AGL KEMPS CREEK
310,BARCSF,Barcaldine Solar Farm,Barcaldine Solar Farm
311,GROSV1,Grosvenor 1 Waste Coal Mine Gas Power Station,Grosvenor 1 Waste Coal Mine Gas 
312,HORNSDAL2,Hornsdale Wind Farm 2,Hornsdale  2
313,VALDORA,SCSF,SCSF
314,WRWF1,White Rock Wind Farm,White Rock 
315,STAPYLTON,Stapylton Renewable Energy Facility,Stapylton Renewable Energy Facility
316,MELBRL,Melbourne Regional Landfill,Melbourne Regional Landfill
317,HORNSDAL3,Hornsdale Wind Farm 3,Hornsdale  3
318,ENOCSTA,ENOC MSAP VIC,ENOC MSAP VIC
319,GROSV2,Grosvenor 2,Grosvenor 2
320,SATGN,Temporary Generation North,Temporary Generation North
321,SATGS,Temporary Generation South,Temporary Generation South
322,ENOCNSW,ENOC MSAP NSW,ENOC MSAP NSW
323,KIATAWF,Kiata Wind Farm,Kiata 
324,HORNSDPR,Hornsdale Power Reserve,Hornsdale Power Reserve
325,YSWF,Yaloak South Wind Farm,Yaloak South 
326,KSP1,Kidston Solar Project,Kidston Solar Project
327,SAPHWF1,Sapphire Wind Farm,Sapphire 
328,GRIFSF,Griffith Solar Farm,Griffith Solar Farm
329,PSF,Parkes Solar Farm,Parkes Solar Farm
330,MAROOWF1,Maroona Wind Farm,Maroona 
331,ENOCQLD,ENOC MASP QLD,ENOC MASP QLD
332,HUGSF,Hughenden Solar Farm,Hughenden Solar Farm
